title,location,size,selling price
3 Bed House with En Suite in Ruiru,Ruiru,3 BEDROOMS BUNGALOW IN RUIRU.,"KSh 8,500,000"
3 Bed House with En Suite at Juja,"Farm, Juja",3 Bedroom Bungalow For sale in Juja Farm,"KSh 6,750,000"
5 Bed House with En Suite in South C,South C,South C Spacious and Well Maintained 5 Bedroom...,"KSh 38,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Modern 5Bedroom Townhouse for Sale in Lavington,"KSh 75,000,000"
4 Bed House in Karen,Karen,House for sale in Karen (Kenya) 3KE1575963,"KSh 63,000,000"
3 Bed House with En Suite at Kuruwitu,"Kuruwitu, Kikambala",Second Row Beach House For Sale,"KSh 55,000,000"
3 Bed House with En Suite in Athi River,Athi River,Spacious 3 bedroom bungalow located in Athi vie...,"KSh 12,500,000"
4 Bed Villa with En Suite at Muigai,"Muigai, Kitengela",4 bedrooms Houses for Sale,"KSh 14,500,000"
3 Bed Villa with En Suite at Mtwapa,"La-marina, Mtwapa",Modern Resort villa on sale la-marina Mtwapa,"KSh 31,500,000"
5 Bed Townhouse in Karen,Karen,5bedroom 90M,"KSh 90,000,000"
